zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YAL001C,0.6265,0.1871,4
duodenum,YAL002W,-0.228,0.2861,4
duodenum,YAL003W,-0.2318,0.3414,4
duodenum,YAL004W,-0.046,0.113,4
duodenum,YAL005C,-0.0725,0.1025,4
duodenum,YAL007C,-0.2578,0.1895,4
duodenum,YAL008W,0.5085,0.2744,4
duodenum,YAL009W,-0.0634,0.3421,4
duodenum,YAL010C,0.411,0.9317,4
duodenum,YAL011W,-0.4632,0.1932,4
duodenum,YAL012W,-0.3877,0.4336,4
duodenum,YAL013W,0.109,0.2033,4
duodenum,YAL014C,0.3397,0.2607,4
duodenum,YAL015C,0.2417,0.1183,4
duodenum,YAL016W,0.5435,0.1436,4
duodenum,YAL017W,0.4714,0.2468,4
duodenum,YAL018C,-0.4412,0.6853,4
duodenum,YAL019W,-0.2211,0.657,4
duodenum,YAL020C,-0.0177,0.2711,4
duodenum,YAL021C,-0.2349,0.1,4
duodenum,YAL022C,0.0757,0.3201,4
duodenum,YAL023C,-0.5714,0.2014,4
duodenum,YAL024C,-0.2686,0.361,4
duodenum,YAL025C,-1.8868,0.9763,4
duodenum,YAL026C,-0.2603,0.1949,4
duodenum,YAL027W,-0.1215,0.1544,4
duodenum,YAL028W,0.49,0.181,4
duodenum,YAL029C,0.2153,1.1862,4
duodenum,YAL030W,0.5903,0.1,4
duodenum,YAL031C,-0.1898,0.101,4
duodenum,YAL032C,-0.2263,0.2897,4
duodenum,YAL033W,-0.7194,0.1757,4
duodenum,YAL034C,1.4905,0.4846,4
duodenum,YAL034W-A,-1.662,0.25,4
duodenum,YAL035C-A,-0.2235,0.7304,4
duodenum,YAL035W,-1.1643,0.4813,4
duodenum,YAL036C,-1.5453,0.5312,4
duodenum,YAL037W,-0.521,0.2539,4
duodenum,YAL038W,0.249,0.1065,4
duodenum,YAL039C,0.0838,0.2535,4
duodenum,YAL040C,-0.0695,0.2289,4
duodenum,YAL041W,-0.0092,0.2007,4
