v_per_paralogue,model,substrate,mu
0.1,Yeast9_base,glucose,0.037434
0.1,Yeast9_base,galactose,0.00104
0.1,Yeast9_base,maltose,0.008319
0.1,Yeast9_base,sucrose,0.061527
0.2,Yeast9_base,glucose,0.082147
0.2,Yeast9_base,galactose,0.009359
0.2,Yeast9_base,maltose,0.023916
0.2,Yeast9_base,sucrose,0.123054
0.3,Yeast9_base,glucose,0.12686
0.3,Yeast9_base,galactose,0.017677
0.3,Yeast9_base,maltose,0.039514
0.3,Yeast9_base,sucrose,0.18458
0.5,Yeast9_base,glucose,0.216286
0.5,Yeast9_base,galactose,0.034315
0.5,Yeast9_base,maltose,0.070709
0.5,Yeast9_base,sucrose,0.307634
0.75,Yeast9_base,glucose,0.224085
0.75,Yeast9_base,galactose,0.055111
0.75,Yeast9_base,maltose,0.109703
0.75,Yeast9_base,sucrose,0.432052
1.0,Yeast9_base,glucose,0.231884
1.0,Yeast9_base,galactose,0.075908
1.0,Yeast9_base,maltose,0.148697
1.0,Yeast9_base,sucrose,0.439851
1.5,Yeast9_base,glucose,0.247481
1.5,Yeast9_base,galactose,0.117502
1.5,Yeast9_base,maltose,0.226684
1.5,Yeast9_base,sucrose,0.455448
2.0,Yeast9_base,glucose,0.263079
2.0,Yeast9_base,galactose,0.159095
2.0,Yeast9_base,maltose,0.304672
2.0,Yeast9_base,sucrose,0.471046
3.0,Yeast9_base,glucose,0.294274
3.0,Yeast9_base,galactose,0.19029
3.0,Yeast9_base,maltose,0.398257
3.0,Yeast9_base,sucrose,0.502241
5.0,Yeast9_base,glucose,0.356664
5.0,Yeast9_base,galactose,0.25268
5.0,Yeast9_base,maltose,0.460648
5.0,Yeast9_base,sucrose,0.564631
