v_per_paralogue,model,substrate,mu
0.1,CNCM_I745,glucose,0.033275
0.1,CNCM_I745,galactose,0.0
0.1,CNCM_I745,maltose,0.005199
0.1,CNCM_I745,sucrose,0.060311
0.2,CNCM_I745,glucose,0.073828
0.2,CNCM_I745,galactose,0.005199
0.2,CNCM_I745,maltose,0.017677
0.2,CNCM_I745,sucrose,0.123054
0.3,CNCM_I745,glucose,0.114382
0.3,CNCM_I745,galactose,0.011438
0.3,CNCM_I745,maltose,0.030155
0.3,CNCM_I745,sucrose,0.18458
0.5,CNCM_I745,glucose,0.195489
0.5,CNCM_I745,galactose,0.023916
0.5,CNCM_I745,maltose,0.055111
0.5,CNCM_I745,sucrose,0.307634
0.75,CNCM_I745,glucose,0.224085
0.75,CNCM_I745,galactose,0.039514
0.75,CNCM_I745,maltose,0.086306
0.75,CNCM_I745,sucrose,0.426853
1.0,CNCM_I745,glucose,0.231884
1.0,CNCM_I745,galactose,0.055111
1.0,CNCM_I745,maltose,0.117502
1.0,CNCM_I745,sucrose,0.439851
1.5,CNCM_I745,glucose,0.247481
1.5,CNCM_I745,galactose,0.086306
1.5,CNCM_I745,maltose,0.179892
1.5,CNCM_I745,sucrose,0.455448
2.0,CNCM_I745,glucose,0.263079
2.0,CNCM_I745,galactose,0.117502
2.0,CNCM_I745,maltose,0.242282
2.0,CNCM_I745,sucrose,0.471046
3.0,CNCM_I745,glucose,0.294274
3.0,CNCM_I745,galactose,0.179892
3.0,CNCM_I745,maltose,0.367062
3.0,CNCM_I745,sucrose,0.502241
5.0,CNCM_I745,glucose,0.356664
5.0,CNCM_I745,galactose,0.25268
5.0,CNCM_I745,maltose,0.460648
5.0,CNCM_I745,sucrose,0.564631
