v_per_paralogue,model,substrate,mu
0.1,Yeast9_base,glucose,0.03743
0.1,Yeast9_base,galactose,0.00104
0.1,Yeast9_base,maltose,0.00832
0.1,CNCM_I745,glucose,0.03327
0.1,CNCM_I745,galactose,0.0
0.1,CNCM_I745,maltose,0.0052
0.2,Yeast9_base,glucose,0.08215
0.2,Yeast9_base,galactose,0.00936
0.2,Yeast9_base,maltose,0.02392
0.2,CNCM_I745,glucose,0.07383
0.2,CNCM_I745,galactose,0.0052
0.2,CNCM_I745,maltose,0.01768
0.3,Yeast9_base,glucose,0.12686
0.3,Yeast9_base,galactose,0.01768
0.3,Yeast9_base,maltose,0.03951
0.3,CNCM_I745,glucose,0.11438
0.3,CNCM_I745,galactose,0.01144
0.3,CNCM_I745,maltose,0.03016
0.5,Yeast9_base,glucose,0.21629
0.5,Yeast9_base,galactose,0.03431
0.5,Yeast9_base,maltose,0.07071
0.5,CNCM_I745,glucose,0.19549
0.5,CNCM_I745,galactose,0.02392
0.5,CNCM_I745,maltose,0.05511
0.75,Yeast9_base,glucose,0.22408
0.75,Yeast9_base,galactose,0.05511
0.75,Yeast9_base,maltose,0.1097
0.75,CNCM_I745,glucose,0.22408
0.75,CNCM_I745,galactose,0.03951
0.75,CNCM_I745,maltose,0.08631
1.0,Yeast9_base,glucose,0.23188
1.0,Yeast9_base,galactose,0.07591
1.0,Yeast9_base,maltose,0.1487
1.0,CNCM_I745,glucose,0.23188
1.0,CNCM_I745,galactose,0.05511
1.0,CNCM_I745,maltose,0.1175
1.5,Yeast9_base,glucose,0.24748
1.5,Yeast9_base,galactose,0.1175
1.5,Yeast9_base,maltose,0.22668
1.5,CNCM_I745,glucose,0.24748
1.5,CNCM_I745,galactose,0.08631
1.5,CNCM_I745,maltose,0.17989
2.0,Yeast9_base,glucose,0.26308
2.0,Yeast9_base,galactose,0.15909
2.0,Yeast9_base,maltose,0.30467
2.0,CNCM_I745,glucose,0.26308
2.0,CNCM_I745,galactose,0.1175
2.0,CNCM_I745,maltose,0.24228
3.0,Yeast9_base,glucose,0.29427
3.0,Yeast9_base,galactose,0.19029
3.0,Yeast9_base,maltose,0.39826
3.0,CNCM_I745,glucose,0.29427
3.0,CNCM_I745,galactose,0.17989
3.0,CNCM_I745,maltose,0.36706
5.0,Yeast9_base,glucose,0.35666
5.0,Yeast9_base,galactose,0.25268
5.0,Yeast9_base,maltose,0.46065
5.0,CNCM_I745,glucose,0.35666
5.0,CNCM_I745,galactose,0.25268
5.0,CNCM_I745,maltose,0.46065
