gene,growth,ratio,classification,model,wt_growth
Q0045,0.020734920615458306,0.24672021642058115,growth_reduced,Yeast9_base,0.084042
Q0080,0.034180618095546886,0.4067075852528487,growth_reduced,Yeast9_base,0.084042
Q0085,0.0341806180955469,0.4067075852528489,growth_reduced,Yeast9_base,0.084042
Q0105,0.024371219272819867,0.2899877267405999,growth_reduced,Yeast9_base,0.084042
Q0130,0.034180618095547045,0.4067075852528506,growth_reduced,Yeast9_base,0.084042
Q0250,0.020734920615561418,0.24672021642180805,growth_reduced,Yeast9_base,0.084042
Q0275,0.02073492061545736,0.24672021642056988,growth_reduced,Yeast9_base,0.084042
YAL012W,0.0,0.0,essential,Yeast9_base,0.084042
YAL022C,0.0840422327570291,0.9999998668345405,neutral,Yeast9_base,0.084042
YAL023C,0.08404223275702494,0.9999998668344908,neutral,Yeast9_base,0.084042
YAL026C,0.08404223275702488,0.9999998668344902,neutral,Yeast9_base,0.084042
YAL035W,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL038W,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL039C,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL044C,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL054C,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL060W,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL061W,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAL062W,0.08404223275702472,0.9999998668344883,neutral,Yeast9_base,0.084042
YAR015W,0.0,0.0,essential,Yeast9_base,0.084042
YAR035W,0.08404225581836042,1.0000001412362012,neutral,Yeast9_base,0.084042
YAR071W,0.08404225581836029,1.0000001412361996,neutral,Yeast9_base,0.084042
YBL011W,0.08404225581836029,1.0000001412361996,neutral,Yeast9_base,0.084042
YBL013W,0.08404225581836029,1.0000001412361996,neutral,Yeast9_base,0.084042
YBL015W,0.08365652051190231,0.9954103624733419,neutral,Yeast9_base,0.084042
YBL030C,0.08404225581835939,1.000000141236189,neutral,Yeast9_base,0.084042
YBL033C,0.0,0.0,essential,Yeast9_base,0.084042
