gene,growth,ratio,classification,model,wt_growth
Q0045,0.020734920417025317,0.2467201257833997,growth_reduced,CNCM_I745,0.084042
Q0080,0.0341806176663698,0.4067074346268881,growth_reduced,CNCM_I745,0.084042
Q0085,0.03418061766637011,0.4067074346268917,growth_reduced,CNCM_I745,0.084042
Q0105,0.024371218998669175,0.28998761972142933,growth_reduced,CNCM_I745,0.084042
Q0130,0.03418061766636994,0.40670743462688974,growth_reduced,CNCM_I745,0.084042
Q0250,0.020734920417023506,0.24672012578337812,growth_reduced,CNCM_I745,0.084042
Q0275,0.02073492041702588,0.24672012578340638,growth_reduced,CNCM_I745,0.084042
YAL012W,0.0,0.0,essential,CNCM_I745,0.084042
YAL022C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YAL023C,0.08404225581835961,0.9999997834378483,neutral,CNCM_I745,0.084042
YAL026C,0.08404225581836014,0.9999997834378546,neutral,CNCM_I745,0.084042
YAL035W,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL038W,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL039C,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL044C,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL054C,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL060W,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL061W,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAL062W,0.0840422558183601,0.9999997834378541,neutral,CNCM_I745,0.084042
YAR015W,9.21907496070861e-16,1.0969568670468659e-14,essential,CNCM_I745,0.084042
YAR035W,0.08404225581836035,0.9999997834378571,neutral,CNCM_I745,0.084042
YAR071W,0.08404225581836133,0.9999997834378688,neutral,CNCM_I745,0.084042
YBL011W,0.08404225581836133,0.9999997834378688,neutral,CNCM_I745,0.084042
YBL013W,0.08404225581836133,0.9999997834378688,neutral,CNCM_I745,0.084042
YBL015W,0.08365652051190334,0.9954100063172259,neutral,CNCM_I745,0.084042
YBL030C,0.08404225581835982,0.9999997834378508,neutral,CNCM_I745,0.084042
YBL033C,0.0,0.0,essential,CNCM_I745,0.084042
YBL039C,0.0840422558183605,0.9999997834378589,neutral,CNCM_I745,0.084042
YBL042C,0.08404225581836047,0.9999997834378586,neutral,CNCM_I745,0.084042
YBL045C,0.024371218998685336,0.2899876197216216,growth_reduced,CNCM_I745,0.084042
YBL064C,0.08404225581836072,0.9999997834378616,neutral,CNCM_I745,0.084042
YBL068W,0.08404225581835924,0.9999997834378439,neutral,CNCM_I745,0.084042
YBL076C,0.0,0.0,essential,CNCM_I745,0.084042
YBL080C,0.08404223275702506,0.9999995090362472,neutral,CNCM_I745,0.084042
YBL091C,0.08404223275702588,0.999999509036257,neutral,CNCM_I745,0.084042
YBL098W,1.0076155391892533e-13,1.1989389280026246e-12,essential,CNCM_I745,0.084042
YBL099W,0.034180618095546775,0.4067074397335677,growth_reduced,CNCM_I745,0.084042
YBR001C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YBR002C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR003W,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR004C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR006W,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR011C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR018C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR019C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR020W,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR021W,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR022W,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR023C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR026C,0.08404225581836114,0.9999997834378664,neutral,CNCM_I745,0.084042
YBR029C,0.0,0.0,essential,CNCM_I745,0.084042
YBR034C,0.0840422558183599,0.9999997834378518,neutral,CNCM_I745,0.084042
YBR035C,0.08404225581836058,0.9999997834378599,neutral,CNCM_I745,0.084042
YBR036C,0.08404225581836058,0.9999997834378599,neutral,CNCM_I745,0.084042
YBR038W,0.08404225581836058,0.9999997834378599,neutral,CNCM_I745,0.084042
YBR039W,0.03418061809554732,0.40670743973357426,growth_reduced,CNCM_I745,0.084042
YBR041W,0.0840422558183584,0.9999997834378339,neutral,CNCM_I745,0.084042
YBR042C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR046C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR058C-A,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR068C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR069C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR070C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR084W,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR085W,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
