pH,k_leak,ngam_base,ngam_extra,ngam_total,pH_cytosol,pump_cost_kJ_per_mol,mu
1.5,0.002,0.7,0.06324535094386581,0.7632453509438658,6.995121062556256,50.0,0.02504030159562965
1.75,0.002,0.7,0.03556538820077846,0.7355653882007784,7.0,48.54435197932499,0.025254190312171684
2.0,0.002,0.7,0.0199998,0.7199998,7.0,47.05973045649999,0.02537445158313711
2.25,0.002,0.7,0.011246626503806981,0.711246626503807,7.0,45.575108933675004,0.025442087936781137
2.5,0.002,0.7,0.00632435532033676,0.7063243553203367,7.0,44.090487410849995,0.025480122653520648
2.75,0.002,0.7,0.0035563588200778454,0.7035563588200778,7.0,42.605865888025,0.025501510910072783
3.0,0.002,0.7,0.0019998,0.7019998,7.0,41.12124436519999,0.02551353854346723
3.25,0.002,0.7,0.0011244826503806983,0.7011244826503806,7.0,39.636622842375,0.02552030241540537
3.5,0.002,0.7,0.000632255532033676,0.7006322555320337,7.0,38.152001319549996,0.025524105887079953
3.75,0.002,0.7,0.00035545588200778453,0.7003554558820078,7.0,36.667379796725,0.025526244736380654
4.0,0.002,0.7,0.0001998,0.7001997999999999,7.0,35.18275827389999,0.025527447499730623
4.25,0.002,0.7,0.00011226826503806981,0.700112268265038,7.0,33.698136751075,0.025528123863267766
4.5,0.002,0.7,6.304555320336759e-05,0.7000630455532033,7.0,32.213515228249996,0.025528504210435125
4.75,0.002,0.7,3.536558820077846e-05,0.7000353655882008,7.0,30.728893705424998,0.025528718095365527
5.0,0.002,0.7,1.9800000000000004e-05,0.7000198,7.0,29.2442721826,0.02552883837169966
5.25,0.002,0.7,1.1046826503806984e-05,0.7000110468265037,7.0,27.759650659774998,0.0255289060080538
5.5,0.002,0.7,6.124555320336759e-06,0.7000061245553203,7.0,26.275029136949996,0.025528944042770424
5.75,0.002,0.7,3.356558820077846e-06,0.7000033565588201,7.0,24.790407614124998,0.025528965431263984
6.0,0.002,0.7,1.8e-06,0.7000018,7.0,23.305786091299996,0.02552897745889695
6.25,0.002,0.7,9.246826503806981e-07,0.7000009246826503,7.0,21.821164568474998,0.025528984222532306
6.5,0.002,0.7,4.3245553203367585e-07,0.700000432455532,7.0,20.33654304565,0.025528988026004097
6.75,0.002,0.7,1.5565588200778455e-07,0.7000001556558819,7.0,18.851921522825,0.025528990164853185
7.0,0.002,0.7,0.0,0.7,7.0,17.3673,0.025528991367616227
7.25,0.002,0.7,-8.753173496193018e-08,0.699999912468265,7.0,15.882678477174998,0.025528992043980334
7.5,0.002,0.7,-1.367544467966324e-07,0.6999998632455532,7.0,14.398056954349999,0.025528992424326772
1.5,0.005,0.7,0.15811337735966452,0.8581133773596645,6.995121062556256,50.0,0.024307238787068006
1.75,0.005,0.7,0.08891347050194616,0.7889134705019462,7.0,48.54435197932499,0.024841951068779372
2.0,0.005,0.7,0.04999950000000001,0.7499994999999999,7.0,47.05973045649999,0.02514264190641844
2.25,0.005,0.7,0.028116566259517452,0.7281165662595174,7.0,45.575108933675004,0.02531173279066084
2.5,0.005,0.7,0.015810888300841895,0.7158108883008418,7.0,44.090487410849995,0.0254068195823771
2.75,0.005,0.7,0.008890897050194614,0.7088908970501946,7.0,42.605865888025,0.025460290814922792
3.0,0.005,0.7,0.0049995000000000005,0.7049995,7.0,41.12124436519999,0.025490359898676537
3.25,0.005,0.7,0.002811206625951746,0.7028112066259518,7.0,39.636622842375,0.025507268987088008
3.5,0.005,0.7,0.0015806388300841898,0.7015806388300841,7.0,38.152001319549996,0.025516777666272607
3.75,0.005,0.7,0.0008886397050194613,0.7008886397050195,7.0,36.667379796725,0.025522124789526545
4.0,0.005,0.7,0.0004995,0.7004994999999999,7.0,35.18275827389999,0.025525131697902374
4.25,0.005,0.7,0.00028067066259517454,0.7002806706625951,7.0,33.698136751075,0.025526822606770173
4.5,0.005,0.7,0.00015761388300841898,0.7001576138830083,7.0,32.213515228249996,0.025527773474662157
4.75,0.005,0.7,8.841397050194615e-05,0.7000884139705019,7.0,30.728893705424998,0.025528308186987536
5.0,0.005,0.7,4.95e-05,0.7000495,7.0,29.2442721826,0.025528608877825407
5.25,0.005,0.7,2.7617066259517458e-05,0.7000276170662595,7.0,27.759650659774998,0.025528777968709473
5.5,0.005,0.7,1.53113883008419e-05,0.7000153113883008,7.0,26.275029136949996,0.025528873055501358
5.75,0.005,0.7,8.391397050194614e-06,0.7000083913970502,7.0,24.790407614124998,0.02552892652673353
6.0,0.005,0.7,4.5e-06,0.7000044999999999,7.0,23.305786091299996,0.02552895659581766
6.25,0.005,0.7,2.3117066259517453e-06,0.7000023117066259,7.0,21.821164568474998,0.025528973504905697
6.5,0.005,0.7,1.0811388300841897e-06,0.7000010811388301,7.0,20.33654304565,0.025528983013584902
