contrast,reaction,name,mean_diff,cohens_d,p,p_adj
ileum_vs_colon,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0.010087,0.4516,0.0181807538239698,0.04774743428517321
ileum_vs_colon,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0.005054,0.2057,0.2726279923493697,0.36383675149614836
ileum_vs_colon,r_0003,"(R,R)-butanediol dehydrogenase",0.0,0.0,,
ileum_vs_colon,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0.0,0.0,,
ileum_vs_colon,r_0005,"1,3-beta-glucan synthase",0.028087,1.4509,1.4022261197549298e-10,4.957008902130816e-10
ileum_vs_colon,r_0006,"1,6-beta-glucan synthase",0.009384,1.4509,1.402226119754943e-10,4.957008902130816e-10
ileum_vs_colon,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0.003176,1.4509,1.4022261197549595e-10,4.957008902130816e-10
ileum_vs_colon,r_0012,1-pyrroline-5-carboxylate dehydrogenase,0.0,0.0,,
ileum_vs_colon,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",7e-06,1.4509,1.4022261200434595e-10,4.957008902130816e-10
ileum_vs_colon,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",3.8e-05,1.4509,1.4022261197549903e-10,4.957008902130816e-10
ileum_vs_colon,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",3.8e-05,1.4509,1.4022261197549903e-10,4.957008902130816e-10
ileum_vs_colon,r_0016,2-aceto-2-hydroxybutanoate synthase,0.010089,1.4509,1.402226119755003e-10,4.957008902130816e-10
ileum_vs_colon,r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0.0,0.0,,
ileum_vs_colon,r_0018,2-aminoadipate transaminase,0.012517,1.4509,1.4022261197549595e-10,4.957008902130816e-10
ileum_vs_colon,r_0019,2-dehydropantoate 2-reductase,7e-06,1.4509,1.4022261200373805e-10,4.957008902130816e-10
ileum_vs_colon,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0.012712,1.4509,1.402226119758087e-10,4.957008902130816e-10
ileum_vs_colon,r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",0.0,0.0,,
ileum_vs_colon,r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,0.0,0.0,,
ileum_vs_colon,r_0023,2-isopropylmalate hydratase,-0.013776,-1.4509,1.4022261197292014e-10,4.957008902130816e-10
ileum_vs_colon,r_0024,2-isopropylmalate synthase,-0.009101,-10.7719,3.6537687378464254e-54,1.4249698077602272e-52
ileum_vs_colon,r_0025,2-isopropylmalate synthase,0.022876,2.4025,1.0751327266494285e-18,1.8845023073855325e-17
