parameter,S1,S1_conf,ST,ST_conf
k_sup,0.8691019415064455,0.15474723340950583,0.8811200835991808,0.10984164058495104
k_il10d,0.04728574774176784,0.04558103057547714,0.07020452923500352,0.01919260637123697
k_il10,0.03412522246489836,0.035485650437721866,0.04681127300880039,0.012838770581905851
k_fb,0.025772566928823275,0.03239207615259997,0.04279129682521791,0.01256089271391053
k_deg,5.366491143560428e-10,7.663068293511216e-10,2.6956928193854565e-17,2.2013358679821592e-17
k_il1d,7.553040869665398e-11,9.026679112329181e-10,2.292650205176095e-17,1.647269090360111e-17
k_tnfd,1.6591980670300634e-10,7.005523076298892e-10,1.393078913369928e-17,6.976679801540197e-18
k_il1,4.0310583612978145e-10,5.667564177230667e-10,1.2617816958086927e-17,9.137074500209888e-18
k_tnf,1.9043657237038429e-10,5.78086194303122e-10,1.1342671911000221e-17,6.621298089884107e-18
k_act,1.6211375034205043e-10,5.483950865981165e-10,9.371327793766835e-18,4.4701423257490476e-18
