fold,model,r2,mae
0,ridge,0.5930450719767548,0.048272449486330284
0,random_forest,0.9819118132927426,0.005644920705471101
0,gradient_boosting,0.9815430858157894,0.00942589663581978
0,mlp_ensemble,0.971536317129225,0.006238125579970832
1,ridge,0.6982083922610185,0.044896728708744324
1,random_forest,0.989741717124975,0.005225166718873164
1,gradient_boosting,0.9644656338726251,0.01152665893792364
1,mlp_ensemble,0.9754873853380127,0.006600642443527704
2,ridge,0.6909822217863245,0.04765437498775255
2,random_forest,0.9908972421049078,0.004690598684425686
2,gradient_boosting,0.9834610243758882,0.00975740268179153
2,mlp_ensemble,0.9885093628116717,0.005039945880301868
3,ridge,0.7311686491845824,0.04686859423683263
3,random_forest,0.9962859852064941,0.0039370221463907555
3,gradient_boosting,0.9888902834664076,0.009179871239916888
3,mlp_ensemble,0.9931840352545275,0.004452405901843404
4,ridge,0.640046794804103,0.04567022274035852
4,random_forest,0.9744248524170414,0.005291042909625007
4,gradient_boosting,0.9648537859842544,0.010766846297499032
4,mlp_ensemble,0.9563795480906023,0.006217566964058032
