D,g_per_day,Y_in,classification,Y_final,C_final,A_final,S_final
0.05,0.0,0.0,coexistence,0.10009230039394128,7.426692975528919,17.27658352677366,0.02193044920960403
0.05,0.05,0.0417,coexistence,11.240499694067328,0.009195305804354655,0.00030640390938403077,0.08305405432720504
0.05,0.1,0.0833,coexistence,11.289575888053628,0.004375240693212272,0.00014515879558614633,0.08265497670466758
0.05,0.25,0.2083,coexistence,11.419155613645993,0.0016444770270988686,5.394333062107811e-05,0.08157931909390954
0.05,0.5,0.4167,coexistence,11.629631098078672,0.0007265501629204172,2.340256911083021e-05,0.07987701422911386
0.05,0.75,0.625,coexistence,11.83914957772843,0.0004242537052348658,1.3424377094086765e-05,0.07824928530473814
0.05,1.0,0.8333,coexistence,12.04840077431095,0.00028023188178059877,8.713739264642237e-06,0.0766879366378945
0.05,1.5,1.25,coexistence,12.466587119845975,0.00014849530569525972,4.463329215793936e-06,0.0737465438014785
0.05,2.0,1.6667,C_difficile_excluded,12.884563593088671,9.11812413824397e-05,2.6520703294806868e-06,0.07102345879764815
0.05,3.0,2.5,C_difficile_excluded,13.720162483769329,4.3575567165714556e-05,1.1901839573735354e-06,0.06614067128588001
0.08,0.0,0.0,coexistence,11.181458779608114,0.001242885186687648,4.1704363973519055e-05,0.14817087304333004
0.08,0.05,0.026,C_difficile_excluded,11.209521708375359,3.5752220046211096e-05,1.1976519208759471e-06,0.14770295592268856
0.08,0.1,0.0521,C_difficile_excluded,11.23578919446729,1.8247264651140382e-05,6.097761086405311e-07,0.14725948470968858
0.08,0.25,0.1302,C_difficile_excluded,11.314522006629861,7.164563083250285e-06,2.378184772254992e-07,0.14594573299581484
0.08,0.5,0.2604,C_difficile_excluded,11.445698365699736,3.1304367821385906e-06,1.028972201191824e-07,0.1438080111836543
0.08,0.75,0.3906,C_difficile_excluded,11.576842732927487,1.7937004437760119e-06,5.901369538399456e-08,0.1417323910541271
0.08,1.0,0.5208,C_difficile_excluded,11.707959313208178,1.1652064208604155e-06,3.756492526796065e-08,0.13971615888811686
0.08,1.5,0.7812,C_difficile_excluded,11.970115753479488,6.008252059986532e-07,1.7440381149864598e-08,0.13585187540016203
0.08,2.0,1.0417,C_difficile_excluded,12.232177659906466,3.604136585205278e-07,1.0734629778693986e-08,0.13219658722293726
0.08,3.0,1.5625,C_difficile_excluded,12.756047981267795,1.647198318081692e-07,4.133102578351731e-09,0.12544837486567084
0.1,0.0,0.0,yeast_washout,1.8822889861344527e-05,7.486653847121358,66.73491570796739,0.04444534762186897
0.1,0.05,0.0208,C_difficile_excluded,11.181066616249716,8.689416610932776e-07,2.9463566229868535e-08,0.1994786970501689
0.1,0.1,0.0417,C_difficile_excluded,11.20213396340967,4.415292882325757e-07,1.457462854015174e-08,0.19896009103160572
0.1,0.25,0.1042,C_difficile_excluded,11.26532719277076,1.718553607967029e-07,5.49382277521853e-09,0.19742048025145456
0.1,0.5,0.2083,C_difficile_excluded,11.370625007108394,7.298475728836169e-08,1.88969214180983e-09,0.19490714832588066
0.1,0.75,0.3125,C_difficile_excluded,11.475894073069018,4.092512347613823e-08,1.0597872749607365e-09,0.1924574789793212
0.1,1.0,0.4167,C_difficile_excluded,11.581135548087156,2.617574473562258e-08,7.175464932279436e-10,0.1900690651374292
0.1,1.5,0.625,C_difficile_excluded,11.79153981596496,1.322298414206706e-08,1.0656263708422693e-09,0.18546703154139
0.1,2.0,0.8333,C_difficile_excluded,12.00184556123536,7.827181035959296e-09,2.0348634607542149e-10,0.18108391188302606
0.1,3.0,1.25,C_difficile_excluded,12.422188308842113,3.5122317831466352e-09,2.630076287155395e-10,0.17291485749758442
0.15,0.0,0.0,yeast_washout,1.5979475740864663e-10,7.477499981779789,67.29003724903667,0.07500006037893002
0.15,0.05,0.0139,C_difficile_excluded,11.095508244660321,9.775446689283986e-11,-4.608425271483476e-10,0.37417920907096835
0.15,0.1,0.0278,C_difficile_excluded,11.109764801023285,3.957195594919985e-11,-6.313934530911139e-10,0.3733621704336308
0.15,0.25,0.0694,C_difficile_excluded,11.152524986476287,1.3190540548934131e-11,-1.7172354579778716e-10,0.3709321287741602
0.15,0.5,0.1389,C_difficile_excluded,11.223759683218455,4.775174200642529e-12,-2.607846185820864e-11,0.3669537903628242
0.15,0.75,0.2083,C_difficile_excluded,11.294955956599832,2.4253271980875735e-12,-1.7816790075499248e-10,0.3630608371774752
0.15,1.0,0.2778,C_difficile_excluded,11.366114917626966,1.4510770071995411e-12,-9.36506258270746e-11,0.35925080033029805
0.15,1.5,0.4167,C_difficile_excluded,11.508326060525295,6.741272506989385e-13,-3.523493288397278e-11,0.3518680136452433
0.15,2.0,0.5556,C_difficile_excluded,11.650401334178676,3.796185184264287e-13,-8.167577521747793e-12,0.34478715861402015
0.15,3.0,0.8333,C_difficile_excluded,11.934178098344564,1.610181175307993e-13,-3.37970192971714e-11,0.33145607775229047
0.2,0.0,0.0,yeast_washout,3.729893212600818e-14,7.46571426844993,67.18916872100218,0.11428577183348493
0.2,0.05,0.0104,coexistence,0.015565504912395825,7.4616059919469855,48.89024086046725,0.11653816407509017
0.2,0.1,0.0208,C_difficile_excluded,10.97215884049277,6.253004424350958e-15,-1.093429966938914e-11,0.6637210952012327
0.2,0.25,0.0521,C_difficile_excluded,11.005375465400896,1.2497884704567688e-15,-2.2788737724530894e-09,0.6593508176276371
0.2,0.5,0.1042,C_difficile_excluded,11.060677520647394,3.1725713176273945e-16,-1.6521376733448537e-09,0.6521981022650493
0.2,0.75,0.1562,C_difficile_excluded,11.115908432357772,1.3212617677106764e-16,-9.475705001627689e-11,0.6452034836493964
0.2,1.0,0.2083,C_difficile_excluded,11.17107099858784,6.940127013112746e-17,-8.220342805925724e-10,0.638360743878873
0.2,1.5,0.3125,C_difficile_excluded,11.281199827555533,2.741207314820866e-17,-5.314992793512965e-11,0.6251114943210394
0.2,2.0,0.4167,C_difficile_excluded,11.39108054465333,1.4004376060915342e-17,-1.347928884575188e-09,0.612413604474085
0.2,3.0,0.625,C_difficile_excluded,11.610159016429444,5.321577923606719e-18,-4.209546415221739e-10,0.588535519045682
0.3,0.0,0.0,yeast_washout,6.929779745565095e-20,7.42799991396172,66.85099053243097,0.24000028679426072
0.3,0.05,0.0069,coexistence,0.011263738579313403,7.423677450324016,52.595026677752685,0.24481006750912396
0.3,0.1,0.0139,coexistence,0.022719980235192956,7.419169246249017,43.21064024825461,0.24981119840037758
0.3,0.25,0.0347,C_difficile_excluded,9.96696997300494,-9.949150786216918e-12,-1.6311398030601176e-09,2.928338311461515
0.3,0.5,0.0694,C_difficile_excluded,10.032249848980907,-4.3213480327139e-12,-1.0119116352439075e-09,2.860432434495475
0.3,0.75,0.1042,C_difficile_excluded,10.09598278128931,-2.3711797122311383e-12,-1.3586639105073241e-09,2.7959641897501553
0.3,1.0,0.1389,C_difficile_excluded,10.158297524808464,-3.0169711880346177e-12,-1.4061865013746995e-09,2.7346474757354398
0.3,1.5,0.2083,C_difficile_excluded,10.279096514701001,-9.461260545547886e-14,-3.280251379269216e-11,2.6205262636312483
0.3,2.0,0.2778,C_difficile_excluded,10.395402381135098,-2.616385029385124e-12,-3.5630904166271585e-10,2.5163897703170544
0.3,3.0,0.4167,C_difficile_excluded,10.616854497897528,-1.3754263111216743e-11,-1.7092924001822092e-09,2.3329159305980873
