parameter,value,classification,Y_final,C_final,A_final,S_final
k_ox,0.2,coexistence,0.29930401412570895,7.424808653530697,8.16581202530602,0.04774001239354192
k_ox,0.5,C_difficile_excluded,11.370279181414398,5.982011255355038e-06,1.9796071642354303e-07,0.1949152123723712
k_ox,0.8,C_difficile_excluded,11.370288100623016,7.314309922799897e-08,1.878625719279186e-09,0.1949150881359554
k_ox,1.2,C_difficile_excluded,11.370288187977492,4.935347775252318e-09,3.852256990969185e-10,0.19491512137407396
k_ox,2.0,C_difficile_excluded,11.370288223129215,4.0197747961765467e-10,3.277455479656698e-11,0.1949150583703681
k_prot,0.3,C_difficile_excluded,11.37028799368817,7.314300317167058e-08,9.715055424621604e-09,0.19491532576926865
k_prot,0.6,C_difficile_excluded,11.370288024346959,7.314309040545902e-08,4.841020674122589e-09,0.19491525763834514
k_prot,1.2,C_difficile_excluded,11.370288100623016,7.314309922799897e-08,1.878625719279186e-09,0.1949150881359554
k_prot,2.4,C_difficile_excluded,11.370288100623027,7.314309332874341e-08,1.1504260969349258e-09,0.1949150881359552
k_prot,4.8,C_difficile_excluded,11.370288100623034,7.314308758656707e-08,-3.0558629098461236e-10,0.1949150881359551
D,0.05,coexistence,11.418816645220339,0.00164739630648848,5.40402604986153e-05,0.08158211335048551
D,0.08,C_difficile_excluded,11.392896334675148,4.160325471571981e-06,1.380257841867504e-07,0.1446609437012632
D,0.1,C_difficile_excluded,11.370288100623016,7.314309922799897e-08,1.878625719279186e-09,0.1949150881359554
D,0.15,C_difficile_excluded,11.294614389994354,2.4321090762817346e-12,-4.06511812478127e-10,0.3630791333377709
D,0.25,C_difficile_excluded,10.931260579878776,3.168537138716198e-21,-2.5863170076948134e-09,1.1705320447138314
S_in,10.0,coexistence,4.623393148399749,0.00011547731866683586,9.355342383912903e-06,0.18763030158853924
S_in,18.0,C_difficile_excluded,8.221155039017864,5.912029905886879e-07,2.7830482609941513e-08,0.19298683160054184
S_in,25.0,C_difficile_excluded,11.370288100623016,7.314309922799897e-08,1.878625719279186e-09,0.1949150881359554
S_in,35.0,C_difficile_excluded,15.869642897998565,1.4127166427517433e-08,6.277137763358588e-10,0.19634906832675963
S_in,50.0,C_difficile_excluded,22.619154494765578,3.851464041429178e-09,8.492693608678212e-11,0.1974344428885122
mu_y,0.2,coexistence,0.2608167111220816,7.447889914390159,9.233428631263772,0.05632981620337646
mu_y,0.28,C_difficile_excluded,11.336529786503975,1.2100084189227932e-06,4.084827739081431e-08,0.26992977440497895
mu_y,0.35,C_difficile_excluded,11.370288100623016,7.314309922799897e-08,1.878625719279186e-09,0.1949150881359554
mu_y,0.45,C_difficile_excluded,11.395215087328825,7.589140507899905e-09,2.5025370488315753e-10,0.13952200285846253
mu_y,0.55,C_difficile_excluded,11.409109614047003,1.721672538458456e-09,5.671668267336705e-11,0.10864529637631028
