reaction,reaction_name,genes_removed,systematic_removed,n_genes_before,n_genes_after,rule_before,rule_after,consequence
r_0198,alpha-glucosidase,IMA3;IMA4,YIL172C;YJL221C,6,4,YBR299W or YGR287C or YGR292W or YIL172C or YJL216C or YJL221C,YBR299W or YGR287C or YGR292W or YJL216C,gpr_rewritten_only
r_0680,L-asparaginase,ASP3-1;ASP3-2;ASP3-3;ASP3-4,YLR155C;YLR157C;YLR158C;YLR160C,4,0,YLR155C or YLR157C or YLR158C or YLR160C,,reaction_deleted
r_1134,D-fructose transport,HXT11;HXT9,YJL219W;YOL156W,15,13,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJR158W or YMR011W or YNR072W,gpr_rewritten_only
r_1135,D-galactose transport,HXT11;HXT9,YJL219W;YOL156W,5,3,YFL011W or YJL219W or YLR081W or YNL318C or YOL156W,YFL011W or YLR081W or YNL318C,gpr_rewritten_only
r_1139,D-mannose transport,HXT11;HXT9,YJL219W;YOL156W,13,11,YDL245C or YDR342C or YHR094C or YDR343C or YDR345C or YEL069C or YFL011W or YHR096C or YJL214W or YJL219W or YJR158W or YNR072W or YOL156W,YDL245C or YDR342C or YHR094C or YDR343C or YDR345C or YEL069C or YFL011W or YHR096C or YJL214W or YJR158W or YNR072W,gpr_rewritten_only
r_1166,glucose transport,HXT11;HXT9,YJL219W;YOL156W,20,18,YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W or YDR387C,YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YDR387C,gpr_rewritten_only
r_1227,maltose transport,MAL11,YGR289C,4,3,YBR298C or YDL247W or YGR289C or YJR160C,YBR298C or YDL247W or YJR160C,gpr_rewritten_only
r_1910,L-sorbose transport,HXT11;HXT9,YJL219W;YOL156W,13,11,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR096C or YJL214W or YJL219W or YJR158W or YNR072W or YOL156W,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR096C or YJL214W or YJR158W or YNR072W,gpr_rewritten_only
r_2079,trehalose transporter,MAL11,YGR289C,1,0,YGR289C,,reaction_deleted
r_4317,sucrose glucohydrolase,IMA2,YOL157C,1,0,YOL157C,,reaction_deleted
r_4318,Isomaltose 6-alpha-D-glucanohydrolase,IMA2,YOL157C,1,0,YOL157C,,reaction_deleted
r_4319,Dextrin 6-alpha-D-glucanohydrolase,IMA2,YOL157C,1,0,YOL157C,,reaction_deleted
r_4338,"Oligo-1,6-glucosidase IMA2 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 2)",IMA2,YOL157C,1,0,YOL157C,,reaction_deleted
r_4395,D-tagatose uptake via diffusion,HXT11;HXT9,YJL219W;YOL156W,15,13,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJR158W or YMR011W or YNR072W,gpr_rewritten_only
