gene,systematic_id,Sc_S288C,Sb_unique28,Sb_PY0001,Sb_EDRL,Sb_CLPY01,Sb_ATCC_MYA797,Sb_strain17,Sb_KCTC13826BP
AAD15,YOL165C,present,present,present,present,present,present,present,absent
ACT1,YFL039C,present,present,present,present,present,present,present,present
AIF1,YNR074C,present,absent,absent,absent,absent,absent,absent,absent
ARN2,YHL047C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
ASP1,YDR321W,present,present,present,present,present,present,present,degraded
ASP3-1,YLR155C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
ASP3-2,YLR157C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
ASP3-3,YLR158C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
ASP3-4,YLR160C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
AYT1,YLL063C,present,absent,absent,absent,absent,absent,absent,absent
BDS1,YOL164W,present,absent,absent,absent,absent,absent,absent,absent
COS10,YNR075W,present,degraded,degraded,degraded,degraded,degraded,degraded,absent
COS6,YGR295C,present,degraded,degraded,degraded,degraded,present,degraded,absent
ENB1,YOL158C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
GAL1,YBR020W,present,present,present,present,present,present,present,absent
GAL10,YBR019C,present,present,present,present,present,present,present,absent
GAL2,YLR081W,present,present,present,present,present,present,present,degraded
GAL3,YDR009W,present,present,present,present,present,present,present,absent
GAL4,YPL248C,present,present,present,present,present,present,present,degraded
GAL7,YBR018C,present,present,present,present,present,present,present,absent
GAL80,YML051W,present,present,present,present,present,present,present,absent
GLR1,YPL091W,present,present,present,present,present,present,present,degraded
GPD1,YDL022W,present,present,present,present,present,present,present,degraded
HXT1,YHR094C,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,degraded
HXT10,YFL011W,present,present,present,present,present,present,present,degraded
HXT11,YOL156W,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
HXT13,YEL069C,present,present,present,present,present,degraded,degraded,degraded
HXT14,YNL318C,present,present,present,present,present,present,present,degraded
HXT15,YDL245C,present,present,present,present,present,present,degraded,degraded
HXT16,YJR158W,present,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,degraded,degraded
HXT17,YNR072W,present,present,present,present,present_ambiguous,present,degraded,degraded
HXT2,YMR011W,present,present,present,present,present,present,present,degraded
HXT3,YDR345C,present,present,present,present,present,present,degraded,degraded
HXT4,YHR092C,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,degraded
HXT5,YHR096C,present,present,present,present,present,present,present,degraded
HXT6,YDR343C,present_ambiguous,present,present,present_ambiguous,present,degraded,present,degraded
HXT7,YDR342C,present,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,degraded,present_ambiguous,degraded
HXT8,YJL214W,present,present,present,present,present,present,present,degraded
HXT9,YJL219W,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
IMA1,YGR287C,present,present,present,present,present,present,present,absent
IMA2,YOL157C,present,degraded,degraded,degraded,degraded,degraded,degraded,absent
IMA3,YIL172C,present,degraded,degraded,degraded,degraded,degraded,degraded,absent
IMA4,YJL221C,present,degraded,degraded,degraded,degraded,degraded,degraded,absent
IMA5,YJL216C,present,present,present,present,present,present,present,degraded
MAL11,YGR289C,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
MAL12,YGR292W,present,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,present_ambiguous,degraded
MAL13,YGR288W,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
MAL31,YBR298C,present,present,present,degraded,present,present,present,degraded
MAL32,YBR299W,present,present,present,present,present,present,present,degraded
MAL33,YBR297W,present,present,present,present,present,present,present,degraded
PAU15,YIR041W,present,present,present,present,present,present,present,degraded
PAU16,YKL224C,present,present,present,present,present,present,present,degraded
PGK1,YCR012W,present,present,present,present,present,present,present,present
PMA1,YGL008C,present,present,present,present,present,present,present,present
REE1,YJL217W,present,absent,absent,absent,absent,absent,absent,absent
SUC2,YIL162W,present,present,present,present,present,present,present,absent
TDA8,YAL064C-A,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
TDH3,YGR192C,present,present,present,present,present,present,present,present
TPS1,YBR126C,present,present,present,present,present,present,present,degraded
TRR1,YDR353W,present,present,present,present,present,present,present,degraded
VAM10,YOR068C,present,present,present,present,present,present,present,absent
VTH1,YIL173W,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
VTH2,YJL222W,present,degraded,degraded,degraded,degraded,degraded,degraded,degraded
