assembly,query,contig,pident,alen,qlen,qstart,qend,sstart,send,evalue,bitscore
Sb_unique28,AAD15|YOL165C|143,CM003559.1,95.804,143,143,1,143,2002,1574,2.79e-90,284.0
Sb_unique28,AAD15|YOL165C|143,CM003560.1,79.845,129,143,1,129,1504234,1504620,2.99e-67,218.0
Sb_unique28,AAD15|YOL165C|143,CM003564.1,79.845,129,143,1,129,9970,9584,7.01e-67,217.0
Sb_unique28,AAD15|YOL165C|143,CM003564.1,79.07,129,143,1,129,717412,717798,2.62e-66,216.0
Sb_unique28,AAD15|YOL165C|143,CM003568.1,78.295,129,143,1,129,764254,764640,2.36e-65,213.0
Sb_unique28,ARN2|YHL047C|620,CM003563.1,54.267,621,620,1,615,511974,513836,0.0,702.0
Sb_unique28,ARN2|YHL047C|620,CM003565.1,45.896,597,620,10,597,7940,6174,2.84e-170,536.0
Sb_unique28,ARN2|YHL047C|620,CM003559.1,48.18,467,620,140,597,301155,302555,3.08e-142,444.0
Sb_unique28,ARN2|YHL047C|620,CM003559.1,35.484,124,620,10,133,300790,301137,3.08e-142,79.3
Sb_unique28,ARN2|YHL047C|620,CM003555.1,43.19,558,620,53,607,28086,29744,2.34e-140,450.0
Sb_unique28,ASP3-1|YLR155C|362,CM003560.1,49.415,342,362,28,362,418196,417198,1.38e-98,319.0
Sb_unique28,ASP3-1|YLR155C|362,CM003568.1,24.727,275,362,89,346,443488,442766,1.1e-08,55.5
Sb_unique28,ASP3-2|YLR157C|362,CM003560.1,49.415,342,362,28,362,418196,417198,1.38e-98,319.0
Sb_unique28,ASP3-2|YLR157C|362,CM003568.1,24.727,275,362,89,346,443488,442766,1.1e-08,55.5
Sb_unique28,ASP3-3|YLR158C|362,CM003560.1,49.415,342,362,28,362,418196,417198,1.38e-98,319.0
Sb_unique28,ASP3-3|YLR158C|362,CM003568.1,24.727,275,362,89,346,443488,442766,1.1e-08,55.5
Sb_unique28,ASP3-4|YLR160C|362,CM003560.1,49.415,342,362,28,362,418196,417198,1.38e-98,319.0
Sb_unique28,ASP3-4|YLR160C|362,CM003568.1,24.727,275,362,89,346,443488,442766,1.1e-08,55.5
Sb_unique28,COS10|YNR075W|374,CM003558.1,47.872,376,374,3,373,790997,789891,6.47e-99,320.0
Sb_unique28,COS10|YNR075W|374,CM003562.1,47.872,376,374,3,373,2042,3148,1.68e-98,319.0
Sb_unique28,COS10|YNR075W|374,CM003562.1,41.139,158,374,5,161,1048661,1048194,2.64e-55,122.0
Sb_unique28,COS10|YNR075W|374,CM003562.1,34.906,212,374,174,369,1048159,1047554,2.64e-55,110.0
Sb_unique28,COS10|YNR075W|374,CM003562.1,27.007,137,374,208,336,1048625,1048227,2.47e-08,54.7
Sb_unique28,COS10|YNR075W|374,CM003560.1,47.872,376,374,3,373,1520432,1519326,5.71e-98,317.0
Sb_unique28,COS10|YNR075W|374,CM003568.1,47.34,376,374,3,373,772479,771373,3.95e-97,315.0
Sb_unique28,COS10|YNR075W|374,CM003564.1,47.34,376,374,3,373,1710,2816,7.61e-97,314.0
Sb_unique28,COS10|YNR075W|374,CM003567.1,47.297,370,374,3,367,1687,2775,1.08e-94,308.0
Sb_unique28,COS10|YNR075W|374,CM003565.1,40.957,376,374,5,372,653528,652419,1.8e-75,253.0
Sb_unique28,COS10|YNR075W|374,CM003563.1,35.065,385,374,21,373,517962,516829,2.34e-56,197.0
Sb_unique28,COS10|YNR075W|374,CM003566.1,30.612,294,374,115,374,1038151,1038990,1.92e-26,110.0
Sb_unique28,COS10|YNR075W|374,CM003559.1,52.778,72,374,303,374,9837,9622,1.48e-16,80.5
Sb_unique28,COS10|YNR075W|374,CM003559.1,38.356,73,374,115,187,10461,10246,1.9e-09,58.2
Sb_unique28,COS10|YNR075W|374,CM003559.1,24.607,191,374,1,183,189848,190387,3.96e-07,50.8
Sb_unique28,COS10|YNR075W|374,CM003557.1,29.57,186,374,3,187,4234,3692,2.48e-15,76.6
Sb_unique28,COS10|YNR075W|374,CM003557.1,25.899,139,374,17,152,161006,160590,2.96e-08,54.3
Sb_unique28,COS10|YNR075W|374,CM003557.1,25.325,154,374,21,171,168481,168939,6.77e-07,50.1
Sb_unique28,COS10|YNR075W|374,LIOO01000005.1,25.899,139,374,17,152,9312,8896,2.93e-08,54.3
Sb_unique28,COS6|YGR295C|381,CM003558.1,84.777,381,381,1,381,791024,789888,0.0,649.0
Sb_unique28,COS6|YGR295C|381,CM003562.1,84.777,381,381,1,381,2015,3151,0.0,648.0
Sb_unique28,COS6|YGR295C|381,CM003562.1,50.311,161,381,7,167,1048676,1048197,1.14e-41,155.0
Sb_unique28,COS6|YGR295C|381,CM003562.1,35.102,245,381,144,377,1048267,1047551,3e-32,127.0
Sb_unique28,COS6|YGR295C|381,CM003562.1,29.252,147,381,214,353,1048625,1048197,2.72e-06,48.1
Sb_unique28,COS6|YGR295C|381,CM003568.1,84.514,381,381,1,381,772506,771370,0.0,647.0
Sb_unique28,COS6|YGR295C|381,CM003560.1,84.211,380,381,1,380,1520459,1519326,0.0,640.0
Sb_unique28,COS6|YGR295C|381,CM003567.1,82.759,377,381,1,377,1660,2784,0.0,621.0
Sb_unique28,COS6|YGR295C|381,CM003564.1,83.288,365,381,17,381,1731,2819,0.0,615.0
Sb_unique28,COS6|YGR295C|381,CM003565.1,61.376,378,381,1,374,653558,652434,2.05e-140,440.0
Sb_unique28,COS6|YGR295C|381,CM003563.1,39.951,408,381,1,380,518040,516829,1.21e-80,268.0
Sb_unique28,COS6|YGR295C|381,CM003557.1,44.149,188,381,2,189,4258,3704,7.28e-46,151.0
Sb_unique28,COS6|YGR295C|381,CM003557.1,29.545,132,381,199,323,3693,3316,7.28e-46,50.1
Sb_unique28,COS6|YGR295C|381,CM003557.1,26.794,209,381,1,205,161051,160455,2.88e-11,63.9
Sb_unique28,COS6|YGR295C|381,CM003557.1,22.619,168,381,19,179,168457,168942,2.51e-08,54.7
Sb_unique28,COS6|YGR295C|381,CM003557.1,25.157,159,381,23,175,169540,170001,6.09e-08,53.5
Sb_unique28,COS6|YGR295C|381,CM003557.1,24.828,145,381,19,161,166319,166747,3.29e-06,47.8
Sb_unique28,COS6|YGR295C|381,CM003557.1,20.253,158,381,19,159,165197,165622,3.68e-06,47.8
Sb_unique28,COS6|YGR295C|381,CM003559.1,63.934,61,381,122,182,10461,10279,1.92e-22,85.5
Sb_unique28,COS6|YGR295C|381,CM003559.1,48.78,41,381,182,221,10280,10158,1.92e-22,37.4
Sb_unique28,COS6|YGR295C|381,CM003559.1,48.571,70,381,311,380,9834,9625,6.55e-13,68.9
Sb_unique28,COS6|YGR295C|381,CM003559.1,24.123,228,381,1,199,189806,190468,6.44e-09,56.6
Sb_unique28,COS6|YGR295C|381,CM003566.1,30.065,306,381,122,380,1038151,1038987,7.31e-19,87.4
Sb_unique28,COS6|YGR295C|381,LIOO01000005.1,26.794,209,381,1,205,9357,8761,2.85e-11,63.9
Sb_unique28,COS6|YGR295C|381,LIOO01000005.1,23.27,159,381,19,175,17555,18028,3.31e-08,54.3
Sb_unique28,COS6|YGR295C|381,LIOO01000005.1,27.027,148,381,19,161,14362,14790,3.02e-06,48.1
Sb_unique28,COS6|YGR295C|381,LIOO01000005.1,20.253,158,381,19,159,13239,13664,4.94e-06,47.4
Sb_unique28,ENB1|YOL158C|606,CM003555.1,31.949,554,606,63,602,28134,29768,7.72e-88,297.0
Sb_unique28,ENB1|YOL158C|606,CM003563.1,31.507,584,606,1,561,511971,513692,7.96e-84,286.0
Sb_unique28,ENB1|YOL158C|606,CM003565.1,33.524,525,606,59,572,7805,6255,2.91e-81,278.0
Sb_unique28,ENB1|YOL158C|606,CM003559.1,34.228,447,606,135,572,301158,302474,5.26e-68,237.0
Sb_unique28,ENB1|YOL158C|606,CM003559.1,30.986,71,606,59,127,300925,301137,5.26e-68,38.9
Sb_unique28,HXT11|YOL156W|567,CM003560.1,71.048,563,567,5,567,365753,367435,0.0,827.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,71.048,563,567,5,567,371145,372827,0.0,826.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,65.493,568,567,4,565,362386,364080,0.0,729.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,53.382,547,567,5,547,1508915,1510543,0.0,615.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,30.206,533,567,54,562,1302791,1301238,8.85e-70,243.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,28.866,582,567,5,562,1404636,1402981,2.32e-69,242.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,25.0,504,567,50,540,24244,22790,2.88e-44,168.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,27.907,559,567,14,529,87395,89008,1.11e-42,163.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,25.912,548,567,49,530,283229,284785,2.56e-36,144.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,23.091,550,567,5,537,1516174,1514570,3.3e-20,94.0
Sb_unique28,HXT11|YOL156W|567,CM003560.1,21.957,460,567,76,520,1413366,1414649,1.13e-10,63.5
Sb_unique28,HXT11|YOL156W|567,CM003563.1,70.088,565,567,2,565,248857,250545,0.0,785.0
Sb_unique28,HXT11|YOL156W|567,CM003563.1,66.014,562,567,5,566,245052,246716,0.0,731.0
Sb_unique28,HXT11|YOL156W|567,CM003563.1,64.974,571,567,5,566,241253,242959,0.0,728.0
Sb_unique28,HXT11|YOL156W|567,CM003566.1,65.179,560,567,5,562,269947,271620,0.0,763.0
Sb_unique28,HXT11|YOL156W|567,CM003567.1,65.234,535,567,29,547,270830,272428,0.0,706.0
Sb_unique28,HXT11|YOL156W|567,CM003561.1,65.543,534,567,16,547,150330,148735,0.0,695.0
Sb_unique28,HXT11|YOL156W|567,CM003561.1,22.581,496,567,49,523,211671,210247,1.03e-18,89.4
Sb_unique28,HXT11|YOL156W|567,CM003555.1,53.097,565,567,16,564,23497,21821,0.0,625.0
Sb_unique28,HXT11|YOL156W|567,CM003568.1,54.228,544,567,25,564,14015,12402,0.0,622.0
Sb_unique28,HXT11|YOL156W|567,CM003568.1,38.356,511,567,41,526,740600,742102,2.07e-101,335.0
Sb_unique28,HXT11|YOL156W|567,CM003564.1,66.19,420,567,53,471,698199,696946,0.0,580.0
Sb_unique28,HXT11|YOL156W|567,CM003564.1,72.414,87,567,479,565,696929,696669,0.0,121.0
Sb_unique28,HXT11|YOL156W|567,CM003569.1,29.672,519,567,61,555,961680,960217,7.68e-46,172.0
Sb_unique28,HXT11|YOL156W|567,CM003562.1,25.517,435,567,95,515,735540,736766,1.08e-24,108.0
Sb_unique28,HXT11|YOL156W|567,CM003562.1,23.194,526,567,42,537,9255,10736,1.28e-17,85.9
Sb_unique28,HXT11|YOL156W|567,CM003558.1,24.942,433,567,96,518,683388,682165,1.72e-24,107.0
Sb_unique28,HXT11|YOL156W|567,CM003558.1,23.359,518,567,42,537,783783,782302,4.99e-17,84.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,71.226,563,567,5,567,365753,367435,0.0,831.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,71.226,563,567,5,567,371145,372827,0.0,829.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,66.667,561,567,5,565,362419,364080,0.0,737.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,52.834,547,567,9,547,1508912,1510543,0.0,612.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,29.197,548,567,3,528,1404648,1403065,3.29e-71,248.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,30.019,533,567,54,562,1302791,1301238,6.18e-70,244.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,24.528,530,567,50,565,24244,22712,7.27e-45,169.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,27.841,528,567,18,529,87494,89008,1.25e-44,169.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,25.912,548,567,49,530,283229,284785,6.46e-36,142.0
Sb_unique28,HXT9|YJL219W|567,CM003560.1,23.091,550,567,5,537,1516174,1514570,4.71e-20,93.6
Sb_unique28,HXT9|YJL219W|567,CM003560.1,21.957,460,567,76,520,1413366,1414649,4.42e-10,61.6
Sb_unique28,HXT9|YJL219W|567,CM003563.1,70.088,565,567,2,565,248857,250545,0.0,787.0
Sb_unique28,HXT9|YJL219W|567,CM003563.1,66.014,562,567,5,566,245052,246716,0.0,735.0
Sb_unique28,HXT9|YJL219W|567,CM003563.1,64.841,566,567,5,566,241268,242959,0.0,725.0
Sb_unique28,HXT9|YJL219W|567,CM003566.1,65.699,551,567,12,562,269974,271620,0.0,766.0
Sb_unique28,HXT9|YJL219W|567,CM003567.1,65.16,531,567,17,547,270845,272428,0.0,704.0
Sb_unique28,HXT9|YJL219W|567,CM003561.1,64.391,542,567,6,547,150327,148735,0.0,691.0
Sb_unique28,HXT9|YJL219W|567,CM003561.1,22.581,496,567,49,523,211671,210247,4.08e-19,90.5
Sb_unique28,HXT9|YJL219W|567,CM003568.1,52.743,565,567,4,564,14078,12402,0.0,631.0
Sb_unique28,HXT9|YJL219W|567,CM003568.1,38.16,511,567,41,526,740600,742102,1.75e-101,336.0
Sb_unique28,HXT9|YJL219W|567,CM003555.1,52.743,565,567,4,564,23497,21821,0.0,629.0
Sb_unique28,HXT9|YJL219W|567,CM003564.1,65.952,420,567,53,471,698199,696946,0.0,577.0
Sb_unique28,HXT9|YJL219W|567,CM003564.1,72.414,87,567,479,565,696929,696669,0.0,121.0
Sb_unique28,HXT9|YJL219W|567,CM003569.1,30.039,516,567,64,555,961671,960217,2.36e-47,177.0
Sb_unique28,HXT9|YJL219W|567,CM003558.1,24.942,433,567,96,518,683388,682165,2.43e-25,110.0
Sb_unique28,HXT9|YJL219W|567,CM003558.1,22.203,581,567,2,537,783948,782302,8.03e-17,83.2
Sb_unique28,HXT9|YJL219W|567,CM003562.1,24.773,440,567,95,515,735540,736766,2.65e-24,107.0
Sb_unique28,HXT9|YJL219W|567,CM003562.1,22.547,581,567,2,537,9090,10736,4.93e-18,87.0
Sb_unique28,IMA2|YOL157C|589,CM003562.1,91.606,548,589,42,589,15045,16688,0.0,1068.0
Sb_unique28,IMA2|YOL157C|589,CM003562.1,71.891,587,589,1,587,8145,6400,0.0,912.0
Sb_unique28,IMA2|YOL157C|589,CM003558.1,71.891,587,589,1,587,784894,786639,0.0,913.0
Sb_unique28,IMA2|YOL157C|589,CM003564.1,65.565,575,589,12,586,699187,700902,0.0,807.0
Sb_unique28,IMA3|YIL172C|589,CM003562.1,91.423,548,589,42,589,15045,16688,0.0,1065.0
Sb_unique28,IMA3|YIL172C|589,CM003562.1,71.891,587,589,1,587,8145,6400,0.0,913.0
Sb_unique28,IMA3|YIL172C|589,CM003558.1,71.891,587,589,1,587,784894,786639,0.0,914.0
Sb_unique28,IMA3|YIL172C|589,CM003564.1,65.565,575,589,12,586,699187,700902,0.0,807.0
Sb_unique28,IMA4|YJL221C|589,CM003562.1,91.423,548,589,42,589,15045,16688,0.0,1065.0
Sb_unique28,IMA4|YJL221C|589,CM003562.1,71.891,587,589,1,587,8145,6400,0.0,913.0
Sb_unique28,IMA4|YJL221C|589,CM003558.1,71.891,587,589,1,587,784894,786639,0.0,914.0
Sb_unique28,IMA4|YJL221C|589,CM003564.1,65.565,575,589,12,586,699187,700902,0.0,807.0
