assembly,accession,n_seqs,total_bp,max_bp,n50,l50,gc_pct
Sb_unique28,GCA_001413975.1,27,12001065,1522271,909172,6,38.35
Sb_PY0001,GCA_024732265.1,16,11781016,1510005,909758,6,38.32
Sb_KCTC13826BP,GCA_026225675.1,16,12971764,1494425,1117196,5,38.48
Sb_EDRL,GCA_000442675.2,74,11469511,830443,306308,12,38.24
Sb_CLPY01,GCA_021216695.1,28,11586090,1497319,893738,6,38.19
Sb_ATCC_MYA797,GCA_001625055.1,324,11569483,887480,295654,14,38.09
Sb_strain17,GCA_000734875.3,48,11636899,1496914,880009,6,38.21
Sc_S288C,GCF_000146045.2,17,12157105,1531933,924431,6,38.15
