systematic_id,gene,function,source
YOL165C,AAD15,Aryl-Alcohol Dehydrogenase,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YNR074C,AIF1,Mitochondrial cell death effector,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YHL047C,ARN2,Transporter,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YLR155C,ASP3-1,Cell-wall L-asparaginase II involved in asparagine catabolism,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YLR157C,ASP3-2,Cell-wall L-asparaginase II involved in asparagine catabolism,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YLR158C,ASP3-3,Cell-wall L-asparaginase II involved in asparagine catabolism,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YLR160C,ASP3-4,Cell-wall L-asparaginase II involved in asparagine catabolism,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YLL063C,AYT1,Acetyltransferase,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YOL164W,BDS1,Bacterially-derived sulfatase,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YLR465C,BSC3,Bypass of Stop Codon,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YNR075W,COS10,Protein of unknown function,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YGR295C,COS6,Protein of unknown function,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YOL158C,ENB1,Endosomal ferric enterobactin transporter,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YOL156W,HXT11,Putative hexose transporter that is nearly identical to Hxt9p,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YJL219W,HXT9,Putative hexose transporter that is nearly identical to Hxt11p,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YOL157C,IMA2,Isomaltase,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YIL172C,IMA3,Isomaltase,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YJL221C,IMA4,Isomaltase,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YGR289C,MAL11,High-affinity maltose transporter (alpha-glucoside transporter),"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YGR288W,MAL13,MAL-activator protein,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YIR041W,PAU15,seripauperin,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YKL224C,PAU16,seripauperin,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YJL217W,REE1,Cytoplasmic protein involved in the regulation of enolase (ENO1),"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YAL064C-A,TDA8,Topoisomerase I Damage Affected,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YOR068C,VAM10,Vacuolar Morphogenesis,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YIL173W,VTH1,Putative membrane glycoprotein,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
YJL222W,VTH2,Putative membrane glycoprotein,"Khatri et al. 2017 Sci Rep 7:371, Table 2 (absent in Sb-biocodex and Sb-unique28)"
