zb_protein,contig,start,end,identity_to_Zbailii_pct,query_coverage_pct,identity_in_S288C_pct,chromosome
CDF90166.1,CM003555.1,132482,132943,90.26,72.30046948356808,77.665,other
CDF91654.1,CM003560.1,910215,912173,98.928,100.0,22.961,chrIV
CDF91655.1,CM003560.1,912241,916101,99.922,100.0,71.773,chrIV
CDF91656.1,CM003560.1,916582,918090,99.602,100.0,35.141,chrIV
CDF91657.1,CM003560.1,919907,921085,100.0,100.0,41.279,chrIV
CDF91658.1,CM003560.1,924357,925493,99.472,62.02945990180033,0.0,chrIV
CDF91654.1,CM003560.1,927139,929097,98.928,100.0,22.961,chrIV
CDF91655.1,CM003560.1,929165,932977,99.921,98.75679875679876,71.773,chrIV
CDF91656.1,CM003560.1,933505,935013,99.602,100.0,35.141,chrIV
CDF91657.1,CM003560.1,936830,937903,100.0,91.0941475826972,41.279,chrIV
CDF91658.1,CM003560.1,941280,942416,99.472,62.02945990180033,0.0,chrIV
